year,d18O
1972,-2.204375
1973,-2.433125
1974,-2.5975
1975,-2.56625
1976,-2.338125
1977,-1.84
1978,-1.82625
1979,-1.904375
1980,-1.955
1981,-2.023125
1982,-2.02875
1983,-1.910625
1984,-1.97875
1985,-1.91875
1986,-1.934375
1987,-1.9375
1988,-1.928125
1989,-1.85125
1990,-2.075
1991,-2.0725
1992,-1.95625
1993,-2.0125
1994,-1.97041667
1995,-2.09083333
1996,-2.26666667
1997,-2.33895833
1998,-2.423125
1999,-2.349375
2000,-2.08625
2001,-2.076875
2002,-2.1375
2003,-1.995
2004,-2.170625
2005,-2.10854167
2006,-2.105
2007,-2.12166667
2008,-2.0575
2009,-1.866875
2010,-2.07125
2011,-2.169375
2012,-2.3175
2013,-2.26625
2014,-2.09125
2015,-2.18