year,Attu11-4 d13C,d18O,,,,,,,,,,
2004,-2.25,-2.20,,,,,,,,,,
2003,-1.97,-1.94,,,,,,,,,,
2002,-2.04,-1.72,,,,,,,,,,
2001,-2.24,-1.61,,,,,,,,,,
2000,-1.06,-1.75,,,,,,,,,,
1999,-2.46,-1.78,,,,,,,,,,
1998,-1.12,-1.88,,,,,,,,,,
1997,-2.18,-1.68,,,,,,,,,,
1996,-0.77,-2.06,,,,,,,,,,
1995,-3.03,-1.70,,,,,,,,,,
1994,-0.86,-2.03,,,,,,,,,,
1993,-1.29,-2.11,,,,,,,,,,
1992,-0.49,-1.92,,,,,,,,,,
1991,-0.75,-1.97,,,,,,,,,,
1990,-0.38,-2.05,,,,,,,,,,
1989,-1.05,-2.25,,,,,,,,,,
1988,-0.69,-1.74,,,,,,,,,,
1987,0.11,-1.78,,,,,,,,,,
1986,0.79,-1.96,,,,,,,,,,
1985,1.11,-1.80,,,,,,,,,,
1984,-0.02,-1.90,,,,,,,,,,
1983,1.11,-1.69,,,,,,,,,,
1982,-0.15,-1.56,,,,,,,,,,
1981,0.92,-2.02,,,,,,,,,,
1980,1.64,-1.88,,,,,,,,,,
1979,0.03,-2.04,,,,,,,,,,
1978,1.61,-1.85,,,,,,,,,,
1977,0.49,-1.79,,,,,,,,,,
1976,1.85,-1.75,,,,,,,,,,
1975,-0.58,-1.72,,,,,,,,,,
1974,2.07,-1.97,,,,,,,,,,
1973,-0.15,-1.91,,,,,,,,,,
1972,0.90,-1.82,,,,,,,,,,
1971,1.07,-1.76,,,,,,,,,,
1970,1.11,-1.83,,,,,,,,,,
1969,0.68,-1.77,,,,,,,,,,
1968,0.92,-1.70,,,,,,,,,,
1967,-0.70,-1.52,,,,,,,,,,
1966,0.30,-1.71,,,,,,,,,,
1965,1.51,-1.74,,,,,,,,,,
1964,1.20,-1.49,,,,,,,,,,
1963,-0.39,-1.88,,,,,,,,,,
1962,1.37,-1.87,,,,,,,,,,
1961,0.43,-1.88,,,,,,,,,,
1960,2.16,-1.77,,,,,,,,,,
1959,2.00,-1.74,,,,,,,,,,
1958,0.52,-2.01,,,,,,,,,,
1957,1.39,-2.00,,,,,,,,,,
1956,1.00,-1.75,,,,,,,,,,
1955,0.77,-1.94,,,,,,,,,,
1954,1.24,-1.66,,,,,,,,,,
1953,1.00,-1.93,,,,,,,,,,
1952,0.68,-1.77,,,,,,,,,,
1951,1.35,-1.92,,,,,,,,,,
1950,1.76,-1.58,,,,,,,,,,
1949,1.24,-1.77,,,,,,,,,,
1948,1.39,-1.68,,,,,,,,,,
1947,1.41,-2.00,,,,,,,,,,
1946,2.32,-1.90,,,,,,,,,,
1945,-0.06,-1.86,,,,,,,,,,
1944,2.18,-1.86,,,,,,,,,,
1943,0.12,-1.90,,,,,,,,,,
1942,-0.16,-1.73,,,,,,,,,,
1941,0.35,-1.94,,,,,,,,,,
1940,0.90,-1.79,,,,,,,,,,
1939,1.21,-1.54,,,,,,,,,,
1938,1.37,-2.02,,,,,,,,,,
1937,0.61,-1.96,,,,,,,,,,
1936,2.12,-2.08,,,,,,,,,,
1935,-0.29,-2.17,,,,,,,,,,
1934,1.31,-2.04,,,,,,,,,,
1933,1.51,-1.84,,,,,,,,,,
1932,1.64,-1.87,,,,,,,,,,
1931,1.12,-1.85,,,,,,,,,,
1930,2.09,-1.85,,,,,,,,,,
1929,1.48,-1.85,,,,,,,,,,
1928,1.74,-1.82,,,,,,,,,,
1927,0.67,-1.82,,,,,,,,,,
1926,0.96,-1.98,,,,,,,,,,
1925,2.14,-1.92,,,,,,,,,,
1924,0.92,-1.68,,,,,,,,,,
1923,0.91,-1.72,,,,,,,,,,
1922,0.77,-1.49,,,,,,,,,,
1921,1.09,-1.63,,,,,,,,,,
1920,2.88,-1.48,,,,,,,,,,
1919,0.15,-1.78,,,,,,,,,,
1918,1.25,-1.81,,,,,,,,,,
1917,2.41,-1.84,,,,,,,,,,
1916,1.54,-1.85,,,,,,,,,,
1915,2.04,-1.73,,,,,,,,,,
1914,0.17,-1.87,,,,,,,,,,
1913,0.73,-1.84,,,,,,,,,,
1912,1.44,-1.79,,,,,,,,,,
1911,1.66,-1.84,,,,,,,,,,
1910,2.14,-1.78,,,,,,,,,,
1909,1.42,-1.79,,,,,,,,,,
1908,0.91,-1.91,,,,,,,,,,
1907,0.91,-1.80,,,,,,,,,,
1906,-0.10,-2.04,,,,,,,,,,
1905,1.29,-2.02,,,,,,,,,,
1904,-0.26,-1.91,,,,,,,,,,
1903,1.44,-1.75,,,,,,,,,,
1902,0.30,-1.90,,,,,,,,,,
1901,0.38,-1.85,,,,,,,,,,
1900,-0.29,-1.73,,,,,,,,,,
1899,0.94,-1.79,,,,,,,,,,
1898,1.04,-1.95,,,,,,,,,,
1897,1.53,-1.92,,,,,,,,,,
1896,-0.69,-2.00,,,,,,,,,,
1895,0.87,-1.94,,,,,,,,,,
1894,1.16,-1.71,,,,,,,,,,
1893,-0.67,-1.85,,,,,,,,,,
1892,2.24,-1.74,,,,,,,,,,
1891,-0.22,-1.81,,,,,,,,,,
1890,1.44,-1.78,,,,,,,,,,
1889,0.24,-1.94,,,,,,,,,,
1888,0.02,-1.81,,,,,,,,,,
1887,1.25,-1.83,,,,,,,,,,